FLSp4	1.5	1	0.5	3.2	-0.3	-0.6	-0.9
FCSpB	1.5	1	0.5	1.6	-0.3	-0.6	-0.9
FCSp1	1.5	1	0.5	1.9	-0.3	-0.6	-0.9
FCSp2	1.5	1	0.5	2.3	-0.3	-0.6	-0.9
FCSp3	1.5	1	0.5	2.8	-0.3	-0.6	-0.9
FCSp4	1.5	1	0.5	3.2	-0.3	-0.6	-0.9
FSSpB	1.5	1	0.5	1.7	-0.3	-0.6	-0.9
FSSp1	1.5	1	0.5	2	-0.3	-0.6	-0.9
FSSp2	1.5	1	0.5	2.3	-0.3	-0.6	-0.9
FSSp3	1.5	1	0.5	2.6	-0.3	-0.6	-0.9
FSSp4	1.5	1	0.5	3	-0.3	-0.6	-0.9
FCUSpB	1.5	1	0.5	1.5	-0.3	-0.6	-0.9
FCUSp1	1.5	1	0.5	1.7	-0.3	-0.6	-0.9
FCUSp2	1.5	1	0.5	2	-0.3	-0.6	-0.9
FCUSp3	1.5	1	0.5	2.4	-0.3	-0.6	-0.9
FCUSp4	1.5	1	0.5	2.9	-0.3	-0.6	-0.9
FCLSpB	1.5	1	0.5	1.7	-0.3	-0.6	-0.9
FCLSp1	1.5	1	0.5	2	-0.3	-0.6	-0.9
FCLSp2	1.5	1	0.5	2.4	-0.3	-0.6	-0.9
FCLSp3	1.5	1	0.5	2.9	-0.3	-0.6	-0.9
FCLSp4	1.5	1	0.5	3.2	-0.3	-0.6	-0.9
FCCSpB	1.5	1	0.5	1.7	-0.3	-0.6	-0.9
FCCSp1	1.5	1	0.5	2	-0.3	-0.6	-0.9
FCCSp2	1.5	1	0.5	2.3	-0.3	-0.6	-0.9
FCCSp3	1.5	1	0.5	2.8	-0.3	-0.6	-0.9
FCCSp4	1.5	1	0.5	3.2	-0.3	-0.6	-0.9
FCSSpB	1.5	1	0.5	1.6	-0.3	-0.6	-0.9
FCSSp1	1.5	1	0.5	1.9	-0.3	-0.6	-0.9
FCSSp2	1.5	1	0.5	2.3	-0.3	-0.6	-0.9
FCSSp3	1.5	1	0.5	2.6	-0.3	-0.6	-0.9
FCSSp4	1.5	1	0.5	3	-0.3	-0.6	-0.9
FCoSpB	1.5	1	0.5	1.5	-0.3	-0.6	-0.9
FCoSp1	1.5	1	0.5	1.7	-0.3	-0.6	-0.9
FCoSp2	1.5	1	0.5	2	-0.3	-0.6	-0.9
FCoSp3	1.5	1	0.5	2.5	-0.3	-0.6	-0.9
FCoSp4	1.5	1	0.5	3	-0.3	-0.6	-0.9
FCCoSpB	1.5	1	0.5	1.7	-0.3	-0.6	-0.9
FCCoSp1	1.5	1	0.5	2	-0.3	-0.6	-0.9
FCCoSp2	1.5	1	0.5	2.5	-0.3	-0.6	-0.9
FCCoSp3	1.5	1	0.5	3	-0.3	-0.6	-0.9
FCCoSp4	1.5	1	0.5	3.5	-0.3	-0.6	-0.9
StSqB	1.5	1	0.5	1.5	-0.3	-0.6	-0.9
StSq1	1.5	1	0.5	1.8	-0.3	-0.6	-0.9
StSq2	1.5	1	0.5	2.6	-0.5	-1	-1.5
StSq3	1.5	1	0.5	3.3	-0.7	-1.4	-2.1
StSq4	2.1	1.4	0.7	3.9	-0.7	-1.4	-2.1
ChSq	2.1	1.4	0.7	2	-0.5	-1	-1.5
