93.4 Peoria, IL
124.9 Philadelphia, PA
108.1 Phoenix, AZ
104.1 Pittsburgh, PA
115 Pittsfield, MA
101.3 Plano, TX
98.9 Plattsburgh, NY
94.8 Ponca, City, OK
101.8 Portland, ME
105.8 Portland, OR
95.2 Prescott-Prescott Valley, AZ
113.4 Providence, RI
95 Pryor, Creek, OK
100.5 Pueblo, CO
97.4 Quincy, IL
104.2 Raleigh, NC
105.4 Reno-Sparks, NV
83.3 Richmond, IN
103.6 Richmond, VA
92 Rio Rancho, NM
104.9 Riverside, City, CA
89.7 Roanoke, VA
89.6 Rochester, MN
94.6 Rochester, NY
92.6 Rockford, IL
105.6 Roswell, NM
81.9 Round,Rock, TX
114.7 Sacramento, CA
86.9 Salina, KS
100.1 Salt Lake City, UT
89.3 San Angelo, TX
84.9 San Antonio, TX
105.5 San Diego, CA
111.9 San Francisco, CA
115.3 San Jose, CA
88.7 San Marcos, TX
107.7 Sarasota, FL
94.7 Savannah, GA
115.1 Seattle, WA
90.7 Seguin, TX
94.3 Sheboygan, WI
95.2 Shreveport-Bossier, City, LA
96.5 Sierra, Vista, AZ
91.5 Sioux, Falls, SD
95.1 Slidell-St., Tammany, Parish, LA
91.3 South, Bend, IN
92.4 Spokane, WA
89.7 Springfield, IL
93.2 Springfield, MO
101.7 St. Cloud, MN
99.9 St. George, UT
95.4 St. Joseph, MO
98.4 St. Louis, MO-IL
107 St. Paul, MN
121.8 Stamford, CT
98.3 Staunton-Augusta, County, VA
95.5 Stillwater, OK
103.4 Sumter, SC
98.6 Syracuse, NY
111.3 Tacoma, WA
96.3 Tampa, FL
83.7 Temple, TX
105.5 Thomasville-Lexington, NC
92.9 Topeka, KS
96.4 Troy-Miami, County, OH
132.2 Truckee-Nevada, County, CA
97.2 Tucson, AZ
91.9 Tulsa, OK
91.1 Tupelo, MS
104.9 Tuscaloosa, AL
95.5 Twin Falls, ID
92.7 Tyler, TX
111.8 Valdosta, GA
96.9 Vancouver, WA
109.1 Vero, Beach-Indian, River, FL
81.8 Waco, TX
107.9 Washington-Arlington-Alexandria, DC-VA
89.5 Waterloo-Cedar, Falls, IA
100 Wausau, WI
95.9 Weatherford, TX
91.9 Wichita, Falls, TX
90.5 Wichita, KS
103.5 Williamsport-Lycoming, Co, PA
108.1 Wilmington, DE
108 Wilmington, NC
104.6 Winchester, VA-WV
98.5 Winston-Salem, NC
99.5 Wooster, OH
99.8 Yakima, WA
98.4 York County, PA
92.6 Youngstown-Warren, OH
107.4 Yuma, AZ
